titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,volumen_punto_m3_anio,volumen_punto_hm3_anio,fecha_titulo,latitud,longitud,id_colonia,colonia,alcaldia,en_poniente,label,en_bbox_piloto
MEX100577,"EMPAQUES MODERNOS SAN PABLO, S. DE R.L. DE C.V.",INDUSTRIAL,539248.0,0.539248,179749.33333333334,0.17974933333333334,1995-07-07,19.507975138888888,-99.17844461111112,11416.0,Santa Barbara,Azcapotzalco,False,Santa Barbara — Azcapotzalco,False
MEX101191,"GRUPO SMURFIT MEXICO, S.A. DE C.V.",INDUSTRIAL,2550.0,0.00255,1275.0,0.001275,1996-02-19,19.475277777777777,-99.22444477777778,11461.0,Ampl San Pedro Xalpa,Azcapotzalco,False,Ampl San Pedro Xalpa — Azcapotzalco,False
MEX101191,"GRUPO SMURFIT MEXICO, S.A. DE C.V.",INDUSTRIAL,5950.0,0.00595,2975.0,0.002975,1996-02-19,19.47555797222222,-99.22416677777778,11461.0,Ampl San Pedro Xalpa,Azcapotzalco,False,Ampl San Pedro Xalpa — Azcapotzalco,False
MEX101210,"INMOBILIARIA DE INDUSTRIAS, S.A. Y COLORTEX, S.A. DE C.V.",INDUSTRIAL,252736.0,0.252736,252736.0,0.252736,1995-11-06,19.470281,-99.22,11461.0,Ampl San Pedro Xalpa,Azcapotzalco,False,Ampl San Pedro Xalpa — Azcapotzalco,False
MEX101278,"PROCTER & GAMBLE MANUFACTURING MEXICO, S. DE R.L. DE C.V.",INDUSTRIAL,25000.0,0.025,25000.0,0.025,1995-11-29,19.47244625,-99.2210835,11461.0,Ampl San Pedro Xalpa,Azcapotzalco,False,Ampl San Pedro Xalpa — Azcapotzalco,False
MEX102608,GRUPO LA FLORIDA MEXICO S. A. DE C. V.,INDUSTRIAL,431176.0,0.431176,431176.0,0.431176,1997-06-04,19.503083333333333,-99.15744444444444,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
MEX102644,"MEXICHEM RESINAS VINILICAS, S.A. DE C.V.",INDUSTRIAL,140068.0,0.140068,140068.0,0.140068,1998-01-20,19.524277777777776,-99.12077777777776,11947.0,Guadalupe Ticoman,Gustavo A. Madero,False,Guadalupe Ticoman — Gustavo A. Madero,False
MEX104873,ANTONIO NOVOA GARCIA,INDUSTRIAL,21000.0,0.021,21000.0,0.021,1999-12-27,19.49,-99.18138888888888,11417.0,Barrio San Andres,Azcapotzalco,False,Barrio San Andres — Azcapotzalco,False
MEX106159,"ABUD ATTIE DAYAN, MARIA LANIADO SAADE, ISIDORO ATTIE LANIADO, ISAAC ATTIE LANIADO",INDUSTRIAL,15000.0,0.015,7500.0,0.0075,2001-12-06,19.471389388888888,-99.22555572222224,11461.0,Ampl San Pedro Xalpa,Azcapotzalco,False,Ampl San Pedro Xalpa — Azcapotzalco,False
MEX106159,"ABUD ATTIE DAYAN, MARIA LANIADO SAADE, ISIDORO ATTIE LANIADO, ISAAC ATTIE LANIADO",INDUSTRIAL,45000.0,0.045,22500.0,0.0225,2001-12-06,19.470861416666665,-99.22638933333332,11461.0,Ampl San Pedro Xalpa,Azcapotzalco,False,Ampl San Pedro Xalpa — Azcapotzalco,False
MEX150239,TRANSPO S. A DE C. V.,INDUSTRIAL,339196.0,0.339196,339196.0,0.339196,2013-07-04,19.50319913888889,-99.15808366666668,11420.0,Industrial Vallejo,Azcapotzalco,False,Industrial Vallejo — Azcapotzalco,False
DFE100168,PANIFICACION BIMBO,INDUSTRIAL,105120.0,0.10512,105120.0,0.10512,1996-02-27,19.507864194444444,-99.18636127777778,11405.0,Unidad Hab San Pablo Xalpa,Azcapotzalco,False,Unidad Hab San Pablo Xalpa — Azcapotzalco,False
