num_pozo,nom_pozo,cve_acui,nom_acuif,nom_edo,latitud,longitud,anio_primero,anio_ultimo,pne_primero_m,pne_ultimo_m,delta_pne_m,tasa_abatimiento_m_anio,n_obs,nivel_estres,id_colonia,colonia,alcaldia,en_poniente,label,dist_colonia_m,en_bbox_piloto
5183,Pozo 3 Vivero Alto,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.312903,-99.194855,,,,,,,1,SIN_SERIE,11626.0,Ciudad Universitaria,Coyoacan,False,Ciudad Universitaria — Coyoacan,0.0,False
5184,Pozo 1 Quimica,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.331217,-99.182298,,,,,,,1,SIN_SERIE,11626.0,Ciudad Universitaria,Coyoacan,False,Ciudad Universitaria — Coyoacan,0.0,False
5185,ZMCM-02,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.296472,-99.195222,,,,,,,1,SIN_SERIE,12691.0,Villa Charra Del Pedregal,Tlalpan,False,Villa Charra Del Pedregal — Tlalpan,0.0,False
5186,ZMCM-03,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.322194,-99.097028,,,,,,,1,SIN_SERIE,12389.0,Lomas Estrella 2Da Seccion,Iztapalapa,False,Lomas Estrella 2Da Seccion — Iztapalapa,0.0,False
5187,ZMCM-04,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.361222,-99.071083,,,,,,,1,SIN_SERIE,12205.0,Leyes De Reforma 1Ra Seccion,Iztapalapa,False,Leyes De Reforma 1Ra Seccion — Iztapalapa,0.0,False
5188,.5311/2,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.380058,-99.134722,,,,,,,1,SIN_SERIE,12144.0,Militar Marte,Iztacalco,False,Militar Marte — Iztacalco,0.0,False
5189,ZMCM-05,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.430556,-99.105,,,,,,,1,SIN_SERIE,12958.0,Moctezuma 1Ra Secc,Venustiano Carranza,False,Moctezuma 1Ra Secc — Venustiano Carranza,0.0,False
5190,ZMCM-06,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.233333,-99.130333,,,,,,,1,SIN_SERIE,13143.0,San Mateo Xalpa,Xochimilco,False,San Mateo Xalpa — Xochimilco,0.0,False
5191,ZMCM-07,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.484722,-99.199722,,,,,,,1,SIN_SERIE,11441.0,Petrolera,Azcapotzalco,False,Petrolera — Azcapotzalco,0.0,False
5192,ZMCM-08,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.496194,-99.201194,,,,,,,1,SIN_SERIE,11434.0,Presidente Madero,Azcapotzalco,False,Presidente Madero — Azcapotzalco,0.0,False
5193,ZMCM-09,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.47825,-99.163556,,,,,,,1,SIN_SERIE,11454.0,Euzkadi,Azcapotzalco,False,Euzkadi — Azcapotzalco,0.0,False
5194,Anexo 2.816 SACMEX,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.406444,-99.189917,,,,,,,1,SIN_SERIE,12536.0,San Miguel Chapultepec,Miguel Hidalgo,True,San Miguel Chapultepec — Miguel Hidalgo,0.0,True
8224,.82-B,1506,CHALCO-AMECAMECA,México,19.203762,-98.959685,1999.0,2020.0,28.74,73.1,44.36,2.1123809523809522,7,ALTO,12679.0,Morelos,Milpa Alta,False,Morelos — Milpa Alta,878.1636309322075,False
8238,.RM-7,1506,CHALCO-AMECAMECA,México,19.279932,-98.971296,1996.0,2024.0,33.68,41.8,8.119999999999997,0.2899999999999999,16,LEVE,12649.0,Ampl Selene,Tlahuac,False,Ampl Selene — Tlahuac,149.37877326782723,False
